key	text	tooltip
#Loc PackedFile;1;text/db/!zzz_cbfm_emp_demand_return_dilemmas_text.loc		
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_dlc20_combi_region_krudenwald	Historically, the region of Krudenwald has been ruled over by Hochland, but is currently under the control of the Elector Count of another state.\\n\\n Aldebrand Ludenhof, the rightful Elector Count of Hochland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_aarnau	Historically, Nordland has laid claim to the lands of Marienburg since its succession, but currently Aarnau is under the control of the Elector Count of another state.\\n\\n Theoderic Gausser, the rightful Elector Count of Nordland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_castle_drakenhof	Historically, the lands of Sylvania are Stirland's by right, but Castle Drakenhof is currently under the control of the Elector Count of another state.\\n\\n Alberich Haupt-Anderssen, the rightful Elector Count of Stirland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_castle_templehof	Historically, the lands of Sylvania are Stirland's by right, but Castle Templehof is currently under the control of the Elector Count of another state.\\n\\n Alberich Haupt-Anderssen, the rightful Elector Count of Stirland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_dotternbach	Historically, the region of Dotternbach has been ruled over by Wissenland, but is currently under the control of the Elector Count of another state.\\n\\n Eben von Liebwitz, the rightful Elector Count of Wissenland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_eschen	Historically, the lands of Sylvania are Stirland's by right, but Eschen is currently under the control of the Elector Count of another state.\\n\\n Alberich Haupt-Anderssen, the rightful Elector Count of Stirland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_fort_oberstyre	Historically, the lands of Sylvania are Stirland's by right, but Fort Oberstyre is currently under the control of the Elector Count of another state.\\n\\n Alberich Haupt-Anderssen, the rightful Elector Count of Stirland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_fort_soll	The lands of Solland have been granted to The Golden Order by Imperial Decree to protect the Empire's southern flank, but Fort Soll is currently under the control of the Elector Count of another state.\\n\\n Balthasar Gelt has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_gorssel	Historically, Nordland has laid claim to the lands of Marienburg since its succession, but currently Gorssel is under the control of the Elector Count of another state.\\n\\n Theoderic Gausser, the rightful Elector Count of Nordland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_gryphon_wood	Historically, the region of the Gryphon Wood has been ruled over by Ostermark, but is currently under the control of the Elector Count of another state.\\n\\n Wolfram Hertwig, the rightful Elector Count of Ostermark, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_helmgart	Historically, the fortress of Helmgart has been under the Emperor’s control, but currently it is ruled by the Elector Count of another state.\\n\\n Emperor Karl Franz has requested that the Golden Order help him return Helmgart to his court’s rule.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_laurelorn_forest	Historically, Nordland has laid claim to the Laurelorn Forest, but currently the area is under the control of the Elector Count of another state.\\n\\n Theoderic Gausser, the rightful Elector Count of Nordland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_marienburg	Historically, Nordland has laid claim to Marienburg since its succession, but currently the city is under the control of the Elector Count of another state.\\n\\n Theoderic Gausser, the rightful Elector Count of Nordland, has asked for your help in restoring his rule over this city immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_pfeildorf	The lands of Solland have been granted to The Golden Order by Imperial Decree to protect the Empire's southern flank, but Pfeildorf is currently under the control of the Elector Count of another state.\\n\\n Balthasar Gelt has asked for your help in restoring his rule over this city immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_steingart	The lands of Solland have been granted to The Golden Order by Imperial Decree to protect the Empire's southern flank, but Steingart is currently under the control of the Elector Count of another state.\\n\\n Balthasar Gelt has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_swartzhafen	Historically, the lands of Sylvania are Stirland's by right, but Swartzhafen is currently under the control of the Elector Count of another state.\\n\\n Alberich Haupt-Anderssen, the rightful Elector Count of Stirland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_the_black_pit	Historically, the region of The Black Pit has been ruled over by Middenland, but is currently under the control of the Elector Count of another state.\\n\\n Boris Todbringer, the rightful Elector Count of Middenland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_ubersreik	Historically, the region of Ubersreik has been under the Emperor’s control, but currently it is ruled by the Elector Count of another state.\\n\\n Emperor Karl Franz has requested that the Golden Order help him return Ubersreik to his court’s rule.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_waldenhof	Historically, the lands of Sylvania are Stirland's by right, but Waldenhof is currently under the control of the Elector Count of another state.\\n\\n Alberich Haupt-Anderssen, the rightful Elector Count of Stirland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_description_wh2_dlc13_demand_return_wh3_main_combi_region_wreckers_point	Historically, the region of Wrecker's Point has been ruled over by Nordland, but is currently under the control of the Elector Count of another state.\\n\\n Theoderic Gausser, the rightful Elector Count of Nordland, has asked for your help in restoring his rule over this land immediately.	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_dlc20_combi_region_krudenwald	Hochland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_aarnau	Nordland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_castle_drakenhof	Stirland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_castle_templehof	Stirland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_dotternbach	Wissenland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_eschen	Stirland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_fort_oberstyre	Stirland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_fort_soll	The Golden Order Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_gorssel	Nordland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_gryphon_wood	Ostermark Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_helmgart	The Emperor Demands Helmgart!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_laurelorn_forest	Nordland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_marienburg	Nordland Demands City!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_pfeildorf	The Golden Order Demands City!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_steingart	The Golden Order Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_swartzhafen	Stirland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_the_black_pit	Middenland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_ubersreik	The Emperor Demands Ubersreik!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_waldenhof	Stirland Demands Region!	false
dilemmas_localised_title_wh2_dlc13_demand_return_wh3_main_combi_region_wreckers_point	Nordland Demands Region!	false
